NeighbourhoodCode,Year,Month,PropertyCrimesTotal,PropertyCrimesRelPop,PropertyCrimesRelCity,ViolentCrimesTotal,ViolentCrimesRelPop,ViolentCrimesRelCity,BurglariesTotal,BurglariesRelPop,BurglariesRelCity
Belcrum,2019,9,13.0,8.1876,3.1991,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2019,10,10.0,8.7941,3.436,1.0,0.3032,1.5625,2.0,0.6065,4.4444
Belcrum,2019,11,17.0,0.6065,0.237,8.0,0.3032,1.5625,0.0,0.0,0.0
Belcrum,2019,12,11.0,0.9097,0.3555,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2020,1,8.0,0.6065,0.237,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2020,2,12.0,0.6065,0.237,2.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2020,3,3.0,40.0282,15.6398,2.0,3.6389,18.75,3.0,0.9097,6.6667
Belcrum,2020,4,12.0,6.0649,2.3697,8.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2020,5,7.0,1.213,0.4739,1.0,0.0,0.0,3.0,0.9097,6.6667
Belcrum,2020,6,14.0,1.8195,0.7109,4.0,0.9097,4.6875,1.0,0.3032,2.2222
Belcrum,2020,7,11.0,3.3357,1.3033,0.0,0.0,0.0,1.0,0.3032,2.2222
Belcrum,2020,8,7.0,3.3357,1.3033,2.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2020,9,8.0,3.3357,1.3033,1.0,1.5162,7.8125,0.0,0.0,0.0
Belcrum,2020,10,11.0,2.7292,1.0664,5.0,0.0,0.0,1.0,0.3032,2.2222
Belcrum,2020,11,10.0,5.7616,2.2512,1.0,0.3032,1.5625,0.0,0.0,0.0
Belcrum,2020,12,9.0,2.7292,1.0664,4.0,0.6065,3.125,0.0,0.0,0.0
Belcrum,2021,1,8.0,0.3032,0.1185,2.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2021,2,5.0,2.1227,0.8294,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2021,3,11.0,4.5487,1.7773,4.0,0.3032,1.5625,1.0,0.3032,2.2222
Belcrum,2021,4,9.0,3.3357,1.3033,2.0,0.6065,3.125,1.0,0.3032,2.2222
Belcrum,2021,5,8.0,3.3357,1.3033,8.0,0.0,0.0,1.0,0.3032,2.2222
Belcrum,2021,6,7.0,15.4654,6.0427,2.0,1.213,6.25,4.0,1.213,8.8889
Belcrum,2021,7,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2021,8,13.0,3.6389,1.4218,1.0,0.6065,3.125,1.0,0.3032,2.2222
Belcrum,2021,9,15.0,3.0324,1.1848,2.0,0.3032,1.5625,0.0,0.0,0.0
Belcrum,2021,10,11.0,0.6065,0.237,3.0,0.0,0.0,1.0,0.3032,2.2222
Belcrum,2021,11,15.0,7.2778,2.8436,4.0,0.0,0.0,4.0,1.213,8.8889
Belcrum,2021,12,15.0,1.213,0.4739,3.0,0.3032,1.5625,2.0,0.6065,4.4444
Belcrum,2022,1,10.0,0.3032,0.1185,2.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2022,2,12.0,0.3032,0.1185,4.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2022,3,6.0,3.0324,1.1848,2.0,0.3032,1.5625,0.0,0.0,0.0
Belcrum,2022,4,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2022,5,9.0,3.6389,1.4218,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2022,6,21.0,0.9097,0.3555,1.0,0.3032,1.5625,0.0,0.0,0.0
Belcrum,2022,7,17.0,11.8265,4.6209,6.0,0.6065,3.125,0.0,0.0,0.0
Belcrum,2022,8,21.0,12.1297,4.7393,2.0,0.3032,1.5625,1.0,0.3032,2.2222
Belcrum,2022,9,13.0,3.0324,1.1848,0.0,0.0,0.0,1.0,0.3032,2.2222
